CDPHE,MMI
Achnanthes_chlidanos,Psammothidium_chlidanos
Achnanthes_engelbrechtii,Planothidium_engelbrechtii
Achnanthes_helvetica,Psammothidium_helveticum
Achnanthes_linearis_f._curta,Psammothidium_abundans_fo._rosenstockii
Achnanthes_minutissima_var._scotica,Achnanthidium_caledonicum
Achnanthes_peragalloi,Skabitschewskia_peragalloi
Achnanthes_ploenensis,Karayevia_ploenensis
Achnanthidium_lineare,Rossithidium_linearis
Amphora_coffeaeformis,Halamphora_coffeaeformis
Amphora_holsatica,Halamphora_holsatica
Amphora_veneta,Halamphora_veneta
Bacillaria_paradoxa,Bacillaria_paxillifera
Biddulphia_laevis,Pleurosira_laevis
Caloneis_schumanniana,Caloneis_lewisii
Caloneis_silicula_var._alpina,Caloneis_ventricosa_var._alpina
Cocconeis_placentula_var._euglypta,Cocconeis_placentula
Cocconeis_placentula_var._pseudolineata,Cocconeis_placentula
Cocconies_placentula_var._lineata,Cocconeis_placentula
Cymbella_brehmii,Encyonema_brehmii
Cymbella_excisa,Cymbella_affinis
Cymbella_excisa_var._subcapitata,Cymbella_affinis
Cymbella_mexicana_var._janischii,Cymbella_janischii
Cymbella_sinuata,Reimeria_sinuata
Denticula_obtusa._Nitzschia_denticula,Denticula_kuetzingii
Diatoma_hiemale,Diatoma_hyemalis
Encyonema_cespitosum,Encyonema_caespitosum
Encyonema_muelleri,Encyonema_reimeri
Encyonema_prostratrum,Encyonema_leibleinii
Encyonema_ventricosum,Encyonema_temperei
Encyonopsis_reichardtii,Encyonema_reichardtii
Eolimna_minima,Sellaphora_nigri
Epithemia_argus_var._alpestris,Epithemia_alpestris
Eunotia_pectinalis_var._minor,Eunotia_minor
Fragilaria_construens_f._binodis,Staurosira_construens_var._binodis
Fragilaria_pinnata_var._acuminatum,Staurosirella_pinnata
Fragilaria_robusta,Pseudostaurosira_robusta
Frustulia_rhomboides_var._amphipleuroides,Frustulia_amphipleuroides
Gomphoneis_eriensis,Gomphoneis_eriense
Gomphoneis_eriensis_var._variabilis,Gomphoneis_eriense_var._variabilis
Gomphoneis_olivacea,Gomphonella_olivacea
Gomphonema_americana,Gomphonema
Gomphonema_citera,Gomphonema_angustatum_var._citera
Gomphonema_parvulum_var._exilissimum,Gomphonema_exilissimum
Gomphonema_praegnans,Gomphosphenia_praegnans
Hannaea_arcus_var._arcus,Hannaea_arcus
Martyana_martyi._Staurosirella_martyi,Staurosirella_martyi
Navicula_abiskoensis,Placoneis_abiskoensis
Navicula_cocconeiformis,Cavinula_cocconeiformis
Navicula_contenta,Humidophila_contenta
Navicula_cryptocephala_var._veneta,Navicula_veneta
Navicula_pseudoanglica,Placoneis_pseudanglica
Navicula_radiosa_var._tenella,Navicula cryptotenella
Navicula_salinarum_var._intermedia,Navicula_capitatoradiata
Navicula_schroeteri_var._escambia,Navicula_escambia
Navicula_schroeteri_var._symmetrica,Navicula_symmetrica
Navicula_semen,Rexlowea_navicularis
Navicula_subminuscula,Craticula_subminuscula
Navicula_tenera,Fallacia_tenera
Navicula_tripunctata_var._schizonemoides,Navicula_recens
Navicula_venerablis,Navicula_globulifera
Navicula_viridulacalis,Navicula_viridulacalcis
Neidium_dubium_f._constrictum,Neidium_dubium_fo._constrictum
Nitzschia_amphibia_f._frauenfeldii,Nitzschia_amphibia_fo._frauenfeldii
Nitzschia_fonticola_sensu_Cholnoky,Nitzschia_fonticola
Nitzschia_sinuata_var._delognei,Grunowia_solgensis
Nitzschia_sinuata_var._tabellaria,Grunowia_tabellaria
Pinnularia_microstauron_var._nonfasciata,Pinnularia_caudata
Punticulata_bodanica,Puncticulata_bodanica
Stauroneis_amphicephala,Stauroneis_anceps
Staurosirella_dubia,Staurosirella_leptostauron_var._dubia
Stephanocyclus_meneghiniana,Cyclotella_meneghiniana
Synedra_dilatata._Fragilaria_dilatata,Ulnaria_capitata
Synedra_parasitica,Pseudostaurosira_parasitica
Synedra_radians,Fragilaria_radians
Synedra_rumpens_var._fragilarioides,Fragilaria_capucina_var._fragilarioides
Synedra_tenera,Fragilaria_tenera
Synedra_ulna_var._oxyrhynchus,Ulnaria_oxyrhyncus
Synedra_ulna_var._subaequalis,Ulnaria_ulna_var._subaequalis
