"TAXON","No.of.Samples"
"Amphora_ovalis_var._affinis",25
"Caloneis_silicula_f._peisonis",1
"Cymbella_excisa_var._procera",13
"Cymbella_subhelvetica",15
"Encyonema_temperei",21
"Encyonema_yellowstonianum",5
"Epithemia_adnata_var._saxonica",1
"Epithemia_alpestris",10
"Eunotia_boreoalpina",1
"Eunotia_boreotenuis",1
"Gomphonema_anglicum",3
"Gomphonema_capsulare",1
"Gomphonema_clevei",3
"Halamphora_coloradiana",1
"Lindavia_bodanica",9
"Luticola_frequentissima",2
"Navicula_walkeri",20
"Nitzschia_agnewii",2
"Nitzschia_tubicole",3
"Pinnularia_neomajor",3
"Rhopalodia_musculus_var._succincta",14
"Skabitschewskia_peragalloi",2
"Stauroneis_heimii",2
"Synedra_nana",4
