MMI,CDPHE,Revised,Used in MMI,Phylum,Class,Order,Family,Genus,Species,Subspecies,Variety,Form
Achnanthes_coarctata,Achnanthes_coarctata,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,Achnanthes coarctata,,,
Achnanthidium,Achnanthidium,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,,,,
Achnanthidium_affine,Achnanthidium_affine,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium affine,,,
Achnanthidium_altergracillima,Achnanthidium_altergracillima,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium altergracillima,,,
Achnanthidium_caledonicum,Achnanthes_minutissima_var._scotica,Y,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium caledonicum,,,
Achnanthidium_deflexum,Achnanthidium_deflexum,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium deflexum,,,
Achnanthidium_exiguum,Achnanthidium_exiguum,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium exiguum,,,
Achnanthidium_gracillimum,Achnanthidium_gracillimum,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium gracillimum,,,
Achnanthidium_microcephalum,Achnanthidium_microcephalum,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium microcephalum,,,
Achnanthidium_minutissimum,Achnanthidium_minutissimum,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium minutissimum,,,
Achnanthidium_pyrenaicum,Achnanthidium_pyrenaicum,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium pyrenaicum,,,
Achnanthidium_rivulare,Achnanthidium_rivulare,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium rivulare,,,
Adlafia,Adlafia,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,,,,
Adlafia_minuscula,Adlafia_minuscula,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,Adlafia minuscula,,,
Amphipleura_pellucida,Amphipleura_pellucida,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura,Amphipleura pellucida,,,
Amphora,Amphora,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,,,
Amphora_montana,Amphora_montana,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,Amphora montana,,,
Amphora_ovalis,Amphora_ovalis,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,Amphora ovalis,,,
Amphora_ovalis_var._affinis,Amphora_ovalis_var._affinis,N,N,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,Amphora ovalis var. affinis,,,
Amphora_pediculus,Amphora_pediculus,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,Amphora pediculus,,,
Asterionella_formosa,Asterionella_formosa,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,,,
Aulacoseira,Aulacoseira,N,Y,Bacillariophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,,,,
Aulacoseira_alpigena,Aulacoseira_alpigena,N,Y,Bacillariophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,Aulacoseira alpigena,,,
Aulacoseira_ambigua,Aulacoseira_ambigua,N,Y,Bacillariophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,Aulacoseira ambigua,,,
Aulacoseira_italica,Aulacoseira_italica,N,Y,Bacillariophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,Aulacoseira italica,,,
Aulacoseira_italica_var._tenuissima,Aulacoseira_italica_var._tenuissima,N,Y,Bacillariophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,Aulacoseira italica,,Aulacoseira italica var. tenuissima,
Bacillaria_paxillifera,Bacillaria_paradoxa,Y,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Bacillaria,Bacillaria paxillifera,,,
Brachysira_brebissonii,Brachysira_brebissonii,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,Brachysira brebissonii,,,
Brachysira_microcephala,Brachysira_microcephala,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,Brachysira microcephala,,,
Caloneis,Caloneis,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,,,,
Caloneis_amphisbaena,Caloneis_amphisbaena,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,Caloneis amphisbaena,,,
Caloneis_bacillum,Caloneis_bacillum,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,Caloneis bacillum,,,
