,Biological condition,Biological condition,Biological condition,Biological condition,Biological condition,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Organic enrichment,Organic enrichment,Organic enrichment,Organic enrichment,Organic enrichment,Pollution tolerance,Pollution tolerance,Pollution tolerance,Pollution tolerance,Pollution tolerance,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Salinity,Salinity,Salinity,Salinity,Pollution tolerance,Pollution tolerance,Pollution tolerance,Nutrient,Nutrient,Nutrient,Nutrient,Habit,Habit,Nitrogen fixation,Nitrogen fixation,Motility,Motility,Motility,Motility,Motility,Size,Size,Size,Size,Size,Taxonomy,Taxonomy,Taxonomy,Taxonomy,Habit,Habit,Motility,Taxonomy,Taxonomy,Biological condition,Biological condition,Biological condition,Biological condition,Biological condition,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Organic enrichment,Organic enrichment,Organic enrichment,Organic enrichment,Organic enrichment,Pollution tolerance,Pollution tolerance,Pollution tolerance,Pollution tolerance,Pollution tolerance,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Salinity,Salinity,Salinity,Salinity,Pollution tolerance,Pollution tolerance,Pollution tolerance,Nutrient,Nutrient,Nutrient,Nutrient,Habit,Habit,Nitrogen fixation,Nitrogen fixation,Motility,Motility,Motility,Motility,Motility,Size,Size,Size,Size,Size,Taxonomy,Taxonomy,Taxonomy,Taxonomy,Habit,Habit,Motility,Taxonomy,Taxonomy,Biological condition,Biological condition,Biological condition,Biological condition,Biological condition,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Organic enrichment,Organic enrichment,Organic enrichment,Organic enrichment,Organic enrichment,Pollution tolerance,Pollution tolerance,Pollution tolerance,Pollution tolerance,Pollution tolerance,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Salinity,Salinity,Salinity,Salinity,Pollution tolerance,Pollution tolerance,Pollution tolerance,Nutrient,Nutrient,Nutrient,Nutrient,Habit,Habit,Nitrogen fixation,Nitrogen fixation,Motility,Motility,Motility,Motility,Motility,Size,Size,Size,Size,Size,Taxonomy,Taxonomy,Taxonomy,Taxonomy,Habit,Habit,Motility,Taxonomy,Taxonomy
SAMPLEID,BC_1.r,BC_2.r,BC_3.r,BC_4.r,BC_5.r,TROPHIC_1.r,TROPHIC_2.r,TROPHIC_3.r,TROPHIC_4.r,TROPHIC_5.r,TROPHIC_6.r,TROPHIC_7.r,SAP_1.r,SAP_2.r,SAP_3.r,SAP_4.r,SAP_5.r,PT_1.r,PT_2.r,PT_3.r,PT_4.r,PT_5.r,O_1.r,O_2.r,O_3.r,O_4.r,O_5.r,SALINITY_1.r,SALINITY_2.r,SALINITY_3.r,SALINITY_4.r,Bahls_1.r,Bahls_2.r,Bahls_3.r,LOW_P.r,HIGH_P.r,LOW_N.r,HIGH_N.r,BENTHIC_HABIT.r,SESTONIC_HABIT.r,N_FIXER.r,NON_N_FIXER.r,NON_MOTILE.r,WEAKLY_MOTILE.r,SLIGHTLY_MOTILE.r,MODERATELY_MOTILE.r,HIGHLY_MOTILE.r,VERY_SMALL.r,SMALL.r,MEDIUM.r,BIG.r,VERY_BIG.r,ACHNANTHIDIUM.r,ACHNANTHIDIAE.r,BACILLARIACEAE.r,NAVICULA.r,STALKED.r,ADNATE.r,HIGHLY_MOTILE.1.r,ARAPHID.r,CENTRIC.r,BC_1.pt,BC_2.pt,BC_3.pt,BC_4.pt,BC_5.pt,TROPHIC_1.pt,TROPHIC_2.pt,TROPHIC_3.pt,TROPHIC_4.pt,TROPHIC_5.pt,TROPHIC_6.pt,TROPHIC_7.pt,SAP_1.pt,SAP_2.pt,SAP_3.pt,SAP_4.pt,SAP_5.pt,PT_1.pt,PT_2.pt,PT_3.pt,PT_4.pt,PT_5.pt,O_1.pt,O_2.pt,O_3.pt,O_4.pt,O_5.pt,SALINITY_1.pt,SALINITY_2.pt,SALINITY_3.pt,SALINITY_4.pt,Bahls_1.pt,Bahls_2.pt,Bahls_3.pt,LOW_P.pt,HIGH_P.pt,LOW_N.pt,HIGH_N.pt,BENTHIC_HABIT.pt,SESTONIC_HABIT.pt,N_FIXER.pt,NON_N_FIXER.pt,NON_MOTILE.pt,WEAKLY_MOTILE.pt,SLIGHTLY_MOTILE.pt,MODERATELY_MOTILE.pt,HIGHLY_MOTILE.pt,VERY_SMALL.pt,SMALL.pt,MEDIUM.pt,BIG.pt,VERY_BIG.pt,ACHNANTHIDIUM.pt,ACHNANTHIDIAE.pt,BACILLARIACEAE.pt,NAVICULA.pt,STALKED.pt,ADNATE.pt,HIGHLY_MOTILE.1.pt,ARAPHID.pt,CENTRIC.pt,BC_1.pa,BC_2.pa,BC_3.pa,BC_4.pa,BC_5.pa,TROPHIC_1.pa,TROPHIC_2.pa,TROPHIC_3.pa,TROPHIC_4.pa,TROPHIC_5.pa,TROPHIC_6.pa,TROPHIC_7.pa,SAP_1.pa,SAP_2.pa,SAP_3.pa,SAP_4.pa,SAP_5.pa,PT_1.pa,PT_2.pa,PT_3.pa,PT_4.pa,PT_5.pa,O_1.pa,O_2.pa,O_3.pa,O_4.pa,O_5.pa,SALINITY_1.pa,SALINITY_2.pa,SALINITY_3.pa,SALINITY_4.pa,Bahls_1.pa,Bahls_2.pa,Bahls_3.pa,LOW_P.pa,HIGH_P.pa,LOW_N.pa,HIGH_N.pa,BENTHIC_HABIT.pa,SESTONIC_HABIT.pa,N_FIXER.pa,NON_N_FIXER.pa,NON_MOTILE.pa,WEAKLY_MOTILE.pa,SLIGHTLY_MOTILE.pa,MODERATELY_MOTILE.pa,HIGHLY_MOTILE.pa,VERY_SMALL.pa,SMALL.pa,MEDIUM.pa,BIG.pa,VERY_BIG.pa,ACHNANTHIDIUM.pa,ACHNANTHIDIAE.pa,BACILLARIACEAE.pa,NAVICULA.pa,STALKED.pa,ADNATE.pa,HIGHLY_MOTILE.1.pa,ARAPHID.pa,CENTRIC.pa
1,3,3,6,9,1,0,1,4,3,8,0,1,3,8,5,1,0,0,2,1,3,2,5,5,4,0,0,3,16,0,1,1,4,10,7,3,7,6,22,1,1,22,3,4,2,8,6,4,9,7,0,0,1,2,5,2,3,3,11,3,1,0.130434783,0.130434783,0.260869565,0.391304348,0.043478261,0,0.043478261,0.173913043,0.130434783,0.347826087,0,0.043478261,0.130434783,0.347826087,0.217391304,0.043478261,0,0,0.086956522,0.043478261,0.130434783,0.086956522,0.217391304,0.217391304,0.173913043,0,0,0.130434783,0.695652174,0,0.043478261,0.043478261,0.173913043,0.434782609,0.304347826,0.130434783,0.304347826,0.260869565,0.956521739,0.043478261,0.043478261,0.956521739,0.130434783,0.173913043,0.086956522,0.347826087,0.260869565,0.173913043,0.391304348,0.304347826,0,0,0.043478261,0.086956522,0.217391304,0.086956522,0.130434783,0.130434783,0.47826087,0.130434783,0.043478261,0.005658387,0.065939921,0.910424859,0.01531281,0.001332012,0,0.003996036,0.012648786,0.003996036,0.908762508,0,0.000671334,0.012318447,0.903764799,0.009995418,0.003996036,0,0,0.003996036,0.001332012,0.899108085,0.004326375,0.014321793,0.009654423,0.903104121,0,0,0.012318447,0.921752288,0,0.000330339,0.000330339,0.007992072,0.023976216,0.084247094,0.899108085,0.071928647,0.904436133,0.997335976,0.002664024,0.000330339,0.999669661,0.00666006,0.902102448,0.066600599,0.018648168,0.005988726,0.066930938,0.908762508,0.018648168,0,0,0.063936575,0.066600599,0.005658387,0.005328048,0.01332012,0.961712648,0.012307791,0.00666006,0.002664024
10,2,9,8,11,3,2,0,2,4,12,0,5,4,10,10,0,0,0,3,1,4,3,6,7,8,0,0,2,23,2,0,1,9,10,7,5,8,9,35,1,1,35,5,2,3,16,10,3,11,14,4,1,1,2,6,5,5,3,21,4,1,0.055555556,0.25,0.222222222,0.305555556,0.083333333,0.055555556,0,0.055555556,0.111111111,0.333333333,0,0.138888889,0.111111111,0.277777778,0.277777778,0,0,0,0.083333333,0.027777778,0.111111111,0.083333333,0.166666667,0.194444444,0.222222222,0,0,0.055555556,0.638888889,0.055555556,0,0.027777778,0.25,0.277777778,0.194444444,0.138888889,0.222222222,0.25,0.972222222,0.027777778,0.027777778,0.972222222,0.138888889,0.055555556,0.083333333,0.444444444,0.277777778,0.083333333,0.305555556,0.388888889,0.111111111,0.027777778,0.027777778,0.055555556,0.166666667,0.138888889,0.138888889,0.083333333,0.583333333,0.111111111,0.027777778,0.012724959,0.177240502,0.183330304,0.543083076,0.063624795,0.027267769,0,0.018178513,0.072714052,0.523995637,0,0.077713143,0.054535539,0.393110344,0.26858753,0,0,0,0.166333394,0.009089256,0.345391747,0.054535539,0.109525541,0.25586257,0.322668606,0,0,0.018178513,0.702599527,0.019996364,0,0.000454463,0.106344301,0.301945101,0.077440465,0.165424468,0.131794219,0.528994728,0.997273223,0.002726777,0.009089256,0.990910744,0.079985457,0.118160334,0.199963643,0.499000182,0.102890384,0.072714052,0.427195055,0.274950009,0.213597528,0.000181785,0.036357026,0.18178513,0.082257771,0.365388111,0.046536993,0.290856208,0.524631885,0.07725868,0.002726777
100,1,2,2,5,1,0,0,1,0,6,0,2,0,5,4,0,0,0,1,0,2,1,2,1,3,0,0,0,8,1,0,0,2,5,2,2,3,7,11,0,0,11,0,2,4,4,1,4,6,1,0,0,1,3,1,2,1,4,4,0,0,0.090909091,0.181818182,0.181818182,0.454545455,0.090909091,0,0,0.090909091,0,0.545454545,0,0.181818182,0,0.454545455,0.363636364,0,0,0,0.090909091,0,0.181818182,0.090909091,0.181818182,0.090909091,0.272727273,0,0,0,0.727272727,0.090909091,0,0,0.181818182,0.454545455,0.181818182,0.181818182,0.272727273,0.636363636,1,0,0,1,0,0.181818182,0.363636364,0.363636364,0.090909091,0.363636364,0.545454545,0.090909091,0,0,0.090909091,0.272727273,0.090909091,0.181818182,0.090909091,0.363636364,0.363636364,0,0,0.078947368,0.131578947,0.5,0.236842105,0.052631579,0,0,0.026315789,0,0.684210526,0,0.105263158,0,0.657894737,0.157894737,0,0,0,0.052631579,0,0.526315789,0.026315789,0.052631579,0.052631579,0.552631579,0,0,0,0.763157895,0.052631579,0,0,0.184210526,0.210526316,0.131578947,0.526315789,0.157894737,0.763157895,1,0,0,1,0,0.5,0.289473684,0.157894737,0.052631579,0.289473684,0.684210526,0.026315789,0,0,0.105263158,0.236842105,0.052631579,0.105263158,0.026315789,0.710526316,0.184210526,0,0
101,3,3,5,9,4,1,2,1,2,16,0,2,3,11,7,1,0,1,3,0,6,3,5,7,6,2,0,2,15,6,0,1,7,7,3,8,5,13,24,0,1,22,1,4,4,10,5,3,8,8,3,0,1,4,4,7,2,5,15,1,1,0.125,0.125,0.208333333,0.375,0.166666667,0.041666667,0.083333333,0.041666667,0.083333333,0.666666667,0,0.083333333,0.125,0.458333333,0.291666667,0.041666667,0,0.041666667,0.125,0,0.25,0.125,0.208333333,0.291666667,0.25,0.083333333,0,0.083333333,0.625,0.25,0,0.041666667,0.291666667,0.291666667,0.125,0.333333333,0.208333333,0.541666667,1,0,0.041666667,0.916666667,0.041666667,0.166666667,0.166666667,0.416666667,0.208333333,0.125,0.333333333,0.333333333,0.125,0,0.041666667,0.166666667,0.166666667,0.291666667,0.083333333,0.208333333,0.625,0.041666667,0.041666667,0.014175258,0.010309278,0.447164948,0.426804124,0.101546392,0.010309278,0.00257732,0.00257732,0.005154639,0.971649485,0,0.007731959,0.014175258,0.861082474,0.097680412,0.005154639,0,0.005154639,0.012886598,0,0.849484536,0.007731959,0.020618557,0.416494845,0.452319588,0.010309278,0,0.011597938,0.872680412,0.11443299,0,0.005154639,0.088659794,0.426804124,0.018041237,0.619587629,0.025773196,0.963917526,1,0,0.00257732,0.987113402,0.005154639,0.509020619,0.079896907,0.380154639,0.025773196,0.077319588,0.528350515,0.11056701,0.276030928,0,0.005154639,0.019329897,0.020618557,0.37757732,0.073453608,0.452319588,0.407216495,0.005154639,0.072164948
102,7,6,6,9,4,2,0,1,5,11,0,9,4,15,8,1,0,0,4,2,2,5,9,6,9,2,1,2,25,2,0,1,7,7,6,6,8,8,32,2,1,33,5,3,7,10,9,4,10,8,4,2,2,4,6,5,4,5,20,3,2,0.205882353,0.176470588,0.176470588,0.264705882,0.117647059,0.058823529,0,0.029411765,0.147058824,0.323529412,0,0.264705882,0.117647059,0.441176471,0.235294118,0.029411765,0,0,0.117647059,0.058823529,0.058823529,0.147058824,0.264705882,0.176470588,0.264705882,0.058823529,0.029411765,0.058823529,0.735294118,0.058823529,0,0.029411765,0.205882353,0.205882353,0.176470588,0.176470588,0.235294118,0.235294118,0.941176471,0.058823529,0.029411765,0.970588235,0.147058824,0.088235294,0.205882353,0.294117647,0.264705882,0.117647059,0.294117647,0.235294118,0.117647059,0.058823529,0.058823529,0.117647059,0.176470588,0.147058824,0.117647059,0.147058824,0.588235294,0.088235294,0.058823529,0.121690863,0.392826644,0.198975235,0.242527754,0.034585824,0.093936806,0,0.085397096,0.053373185,0.285653288,0,0.250213493,0.104184458,0.328778822,0.31853117,0.017079419,0,0,0.230145175,0.001280956,0.111016225,0.230999146,0.293766012,0.095217763,0.336891546,0.017079419,0.017079419,0.009393681,0.767719898,0.025619129,0,0.000853971,0.285226302,0.307429547,0.385140905,0.069598634,0.488898377,0.095644748,0.89795047,0.10204953,0.001280956,0.998719044,0.238684885,0.111870196,0.232707088,0.312126388,0.104611443,0.281810418,0.410760034,0.140478224,0.086678053,0.002134927,0.179333903,0.222032451,0.094790777,0.112724167,0.096071734,0.24765158,0.324935952,0.136635354,0.10204953
103,3,8,7,14,2,0,2,1,3,16,0,2,3,12,8,3,0,2,5,0,7,3,2,11,9,2,0,1,23,4,0,2,8,9,7,7,7,14,35,1,0,36,4,4,9,15,4,5,17,7,4,0,1,4,3,8,6,6,16,3,2,0.083333333,0.222222222,0.194444444,0.388888889,0.055555556,0,0.055555556,0.027777778,0.083333333,0.444444444,0,0.055555556,0.083333333,0.333333333,0.222222222,0.083333333,0,0.055555556,0.138888889,0,0.194444444,0.083333333,0.055555556,0.305555556,0.25,0.055555556,0,0.027777778,0.638888889,0.111111111,0,0.055555556,0.222222222,0.25,0.194444444,0.194444444,0.194444444,0.388888889,0.972222222,0.027777778,0,1,0.111111111,0.111111111,0.25,0.416666667,0.111111111,0.138888889,0.472222222,0.194444444,0.111111111,0,0.027777778,0.111111111,0.083333333,0.222222222,0.166666667,0.166666667,0.444444444,0.083333333,0.055555556,0.114777618,0.173959828,0.200860832,0.420731707,0.057388809,0,0.015064562,0.003586801,0.003945481,0.62446198,0,0.021520803,0.044835007,0.431133429,0.204088953,0.018651363,0,0.017934003,0.087159254,0,0.412123386,0.004662841,0.017934003,0.25071736,0.361908178,0.032281205,0,0.007173601,0.639167862,0.071736011,0,0.017934003,0.053443329,0.328909613,0.12266858,0.426829268,0.12553802,0.631276901,0.99892396,0.00107604,0,1,0.019010043,0.334289813,0.288378766,0.243543759,0.114777618,0.25107604,0.595408895,0.06312769,0.053802009,0,0.086083214,0.18651363,0.086083214,0.238880918,0.180416069,0.380200861,0.403873745,0.017934003,0.158895265
104,3,5,5,0,1,0,0,1,5,5,0,0,2,6,0,0,0,0,0,0,1,2,4,1,2,0,0,0,11,0,0,0,2,4,4,3,8,1,14,0,5,9,3,1,3,6,1,4,2,3,4,1,0,0,0,1,3,1,9,3,0,0.214285714,0.357142857,0.357142857,0,0.071428571,0,0,0.071428571,0.357142857,0.357142857,0,0,0.142857143,0.428571429,0,0,0,0,0,0,0.071428571,0.142857143,0.285714286,0.071428571,0.142857143,0,0,0,0.785714286,0,0,0,0.142857143,0.285714286,0.285714286,0.214285714,0.571428571,0.071428571,1,0,0.357142857,0.642857143,0.214285714,0.071428571,0.214285714,0.428571429,0.071428571,0.285714286,0.142857143,0.214285714,0.285714286,0.071428571,0,0,0,0.071428571,0.214285714,0.071428571,0.642857143,0.214285714,0,0.111965913,0.220144396,0.64043082,0,0.027458871,0,0,0.047342881,0.096342762,0.716061072,0,0,0.059178601,0.743519943,0,0,0,0,0,0,0.164753225,0.466800805,0.506095396,0.054917742,0.194342526,0,0,0,0.914664457,0,0,0,0.076932181,0.093383832,0.536513197,0.221801397,0.743993372,0.164753225,1,0,0.210439105,0.789560895,0.066753462,0.164753225,0.472718665,0.292815718,0.00295893,0.149130075,0.604095159,0.111965913,0.131849923,0.00295893,0,0,0,0.027458871,0.448218724,0.164753225,0.6861167,0.066753462,0
105,3,5,12,5,1,1,0,1,7,9,0,5,5,13,3,1,0,1,2,0,2,4,11,5,3,1,0,0,20,2,0,1,7,10,9,3,13,3,26,1,4,23,7,1,3,12,4,9,5,6,4,1,1,1,2,1,5,1,13,6,1,0.111111111,0.185185185,0.444444444,0.185185185,0.037037037,0.037037037,0,0.037037037,0.259259259,0.333333333,0,0.185185185,0.185185185,0.481481481,0.111111111,0.037037037,0,0.037037037,0.074074074,0,0.074074074,0.148148148,0.407407407,0.185185185,0.111111111,0.037037037,0,0,0.740740741,0.074074074,0,0.037037037,0.259259259,0.37037037,0.333333333,0.111111111,0.481481481,0.111111111,0.962962963,0.037037037,0.148148148,0.851851852,0.259259259,0.037037037,0.111111111,0.444444444,0.148148148,0.333333333,0.185185185,0.222222222,0.148148148,0.037037037,0.037037037,0.037037037,0.074074074,0.037037037,0.185185185,0.037037037,0.481481481,0.222222222,0.037037037,0.144378698,0.134911243,0.609467456,0.085207101,0.002366864,0.002366864,0,0.00591716,0.265088757,0.222485207,0,0.430769231,0.215384615,0.519526627,0.049704142,0.023668639,0,0.023668639,0.047337278,0,0.082840237,0.105325444,0.652071006,0.056804734,0.049704142,0.023668639,0,0,0.898224852,0.047337278,0,0.023668639,0.175147929,0.323076923,0.389349112,0.028402367,0.80591716,0.059171598,0.976331361,0.023668639,0.182248521,0.817751479,0.499408284,0.00591716,0.177514793,0.265088757,0.052071006,0.560946746,0.150295858,0.071005917,0.168047337,0.002366864,0.071005917,0.071005917,0.026035503,0.023668639,0.104142012,0.071005917,0.363313609,0.475739645,0.023668639
106,0,1,5,12,1,0,0,1,3,11,0,2,0,12,4,1,0,1,2,2,5,2,2,5,8,1,0,0,15,2,0,1,6,7,2,4,3,7,18,2,0,20,3,2,2,8,5,1,7,5,5,1,1,2,2,7,1,3,13,1,2,0,0.05,0.25,0.6,0.05,0,0,0.05,0.15,0.55,0,0.1,0,0.6,0.2,0.05,0,0.05,0.1,0.1,0.25,0.1,0.1,0.25,0.4,0.05,0,0,0.75,0.1,0,0.05,0.3,0.35,0.1,0.2,0.15,0.35,0.9,0.1,0,1,0.15,0.1,0.1,0.4,0.25,0.05,0.35,0.25,0.25,0.05,0.05,0.1,0.1,0.35,0.05,0.15,0.65,0.05,0.1,0,0.00359874,0.020692758,0.971210076,0.00179937,0,0,0.000899685,0.012595592,0.967611336,0,0.008996851,0,0.037336932,0.949167791,0.00359874,0,0.00359874,0.709851552,0.002699055,0.023391813,0.001349528,0.004498426,0.017094017,0.95951417,0.00359874,0,0,0.985605038,0.004498426,0,0.00359874,0.960863698,0.0211426,0.004498426,0.014394962,0.008097166,0.023391813,0.288349078,0.711650922,0,1,0.718848403,0.006297796,0.004498426,0.262708052,0.007647323,0.00359874,0.019793072,0.254610886,0.717948718,0.000449843,0.00359874,0.004498426,0.005398111,0.259109312,0.00359874,0.009896536,0.26765632,0.007197481,0.711650922
