FY,CollDate,Sample,StationID,WaterbodyName,Location,PH,COND (µs/cm),DO,TEMP,ALKALINITY [mg/L],ARSENIC DIS [ug/L],COPPER DIS [ug/L],CHLORIDE [mg/L],HARDNESS TOT [mg/L],IRON DIS [ug/L],IRON TREC [ug/L],MANGANESE DIS [ug/L],AMMONIA [mg/L],NO5 [mg/L],N-KJELDAHL [mg/L],NITROGEN TOT [mg/L],PHOSPHORUS [mg/L],SELENIUM [ug/L],SULFATE [mg/L],ZINC [ug/L],TSS [mg/L]
FY05,8/3/2004,Routine Sample,10249,Soap Creek,above Blue Mesa Reservoir,7.97,109,8.61,11.89,56,<1,<5,,53,21,110,4,<0.03,<0.3,<0.5,,0.051,<1.0,7,<10,<10
FY05,8/24/2004,Routine Sample,7551,Raton Creek,at Gallinas,8.59,701,13.49,17.91,,<1,<5,,220,16,49,9,<0.03,<0.3,<0.5,,0.021,<1.0,83,<10,12
FY05,8/24/2004,Routine Sample,92,Apishapa River,near Aguilar,7.92,588,8.75,15.4,,<1,<5,,220,12,76,41,0.03,<0.3,<0.5,,0.019,<1.0,85,13,23
FY05,8/25/2004,Routine Sample,7545,Purgatoire River,above Weston,8.58,259,7.2,20.52,,<1,<5,,130,35,250,17,0.03,<0.3,<0.5,,0.017,<1.0,26,13,16
FY05,8/25/2004,Routine Sample,7547,South Fork Purgatoire River,at Torres,8.12,153,9.38,10.27,,<1,<5,,68,41,200,21,0.03,<0.3,<0.5,,0.014,<1.0,11,11,<10
FY05,8/25/2004,Routine Sample,7548,North Fork Purgatoire River,near Vigil,8.08,127,8.72,8.68,,<1,<5,,65,<10,41,<2,0.04,<0.3,0.74,,<0.01,<1.0,4,<10,<10
FY05,8/26/2004,Routine Sample,7560,Trinchera Creek,below Trinchera,8.25,1121,8.49,17.97,,2,<5,,470,20,870,13,<0.03,<0.3,<0.5,,0.072,1.5,420,13,52
FY05,8/26/2004,Routine Sample,7571,San Francisco Creek,at Barela,8.13,1313,7.75,20.98,,<1,<5,,510,21,390,160,0.05,<0.3,<0.5,,0.023,<1.0,470,10,35
FY05,9/13/2004,Routine Sample,9190,East Fork San Juan River,at USGS Gage,7.9,137,10.06,17.9,,<1,<5,,62,11,36,<2,0.04,<0.3,<0.5,,0.018,<1.0,15,<10,<10
FY05,9/14/2004,Routine Sample,9275,Williams Creek,at FR 631 (at Bridge Campground),9.28,67,5.93,19.76,,<1,<5,,26,280,440,9,0.08,<0.3,<0.5,,0.077,<1.0,<3,<10,<10
FY05,9/14/2004,Routine Sample,137D,San Juan River,above Pagosa Springs at Service Rd.,7.72,103,7.72,10.24,,<1,<5,,38,34,73,3,0.04,<0.3,<0.5,,0.052,<1.0,8,<10,<10
FY05,9/14/2004,Routine Sample,9120B,McCabe Creek,at 411 Rd.,8.6,462,6.89,17.76,,1,<5,,220,49,740,28,0.05,<0.3,<0.5,,0.056,<1.0,63,<10,20
FY05,9/15/2004,Routine Sample,9280,Devils Creek,at Devils Creek SWA,7.94,611,6.92,16.14,,<1,<5,,300,11,18,3,0.04,<0.3,<0.5,,<0.01,<1.0,150,11,<10
FY05,9/15/2004,Routine Sample,9861,Rio Blanco River,at mouth,7.26,174,8.17,10.91,,<1,<5,,64,36,120,8,0.07,<0.3,<0.5,,<0.01,<1.0,8,<10,<10
FY05,9/15/2004,Routine Sample,102F,Navajo River,above Chromo,7.74,971,8.08,11.38,,<1,<5,,65,22,120,10,0.07,<0.3,<0.5,,0.11,<1.0,37,<10,<10
FY05,9/16/2004,Routine Sample,9246,Stollsteimer Creek,at Cat Creek Rd.,7.91,689,8.65,18.99,,<1,<5,,450,130,550,26,0.07,<0.3,0.83,,0.05,2.8,290,11,10
FY05,9/16/2004,Routine Sample,9250,Piedra River,at Hwy 160,7.09,408,9.23,12.24,,4,<5,,140,42,70,3,0.04,<0.3,<0.5,,0.029,<1.0,100,<10,<10
FY05,9/16/2004,Routine Sample,68,San Juan River,above Navajo Reservoir,6.74,320,8.51,18.58,,1,<5,,100,47,290,4,0.07,<0.3,<0.5,,0.051,<1.0,62,<10,<10
FY05,9/28/2004,Routine Sample,10551,Escalante Creek,at Escalante SWA,8.38,494,9.78,13.83,220,10,<5,8,240,<10,440,5,0.05,<0.3,<0.5,,0.027,<1.0,61,<10,26
FY05,9/29/2004,Routine Sample,10212,Smith Fork,below Crawford,8.55,1870,9.28,12.64,240,<1,<5,,1100,16,170,34,0.05,<0.3,<0.5,,0.024,<1.0,1100,<10,<10
FY05,9/30/2004,Routine Sample,10669C,Cow Creek,at Hwy. 550,8.47,552,9.53,11.88,160,<1,<5,2,310,<10,220,7,0.07,<0.3,<0.5,,0.032,1.1,160,<10,15
FY05,10/13/2004,Routine Sample,10320,Cochetopa Creek,near mouth,8.57,225,10.07,11.85,110,5,<5,<2,98,170,460,25,0.06,<0.3,<0.5,,0.17,<1.0,8,<10,<10
FY05,10/13/2004,Routine Sample,10350,Razor Creek,at 45 Rd. Bridge,8.17,573,8.86,8.53,220,5,<5,8,240,150,460,190,0.07,<0.3,<0.5,,0.15,<1.0,84,11,12
FY05,10/14/2004,Routine Sample,10118,East River,above Gothic,8.05,299,10.91,4.8,110,<1,<5,<2,150,100,170,58,0.06,<0.3,<0.5,,<0.01,<1.0,46,<10,<10
FY05,10/14/2004,Routine Sample,58,Taylor River,at Almont near USGS Gage,8.05,150,9.97,4.66,70,<1,<5,<2,72,27,87,<2,0.06,<0.3,<0.5,,0.016,<1.0,8,<10,<10
FY05,10/14/2004,Routine Sample,10268A,Ohio Creek,at Rock House Ranch,7.89,93,12.37,11.36,47,<1,<5,<2,37,330,560,20,0.06,<0.3,<0.5,,0.086,<1.0,<3,<10,<10
FY05,10/15/2004,Routine Sample,10336,Gold Creek,above Ohio City,8.14,141,10.12,2.59,67,3,<5,<2,67,80,100,13,0.04,<0.3,9.5,,0.011,<1.0,7,11,<10
FY05,10/15/2004,Routine Sample,10334,North Quartz Creek,at Quartz Campground,7.58,194,10.35,2.59,96,0.004,<5,<2,100,18,32,5,0.06,<0.3,<0.5,,<0.01,<1.0,15,<10,<10
FY05,10/19/2004,Routine Sample,61,Dolores River,at Gateway,8.39,947,9.35,11.42,150,<1,<5,110,340,<10,1900,6,0.07,<0.3,<0.5,,0.13,<1.0,270,<10,170
